Questionnaire,Dimension,Facets,Item,Reverse,Label,Description
TRIMP,boldness,intrepidness,47,1,Q314_1,I stay away from physical danger as much as I can.
TRIMP,meanness,empathy,48,0,Q315_1,I don't care much if what I do hurts others.
TRIMP,disinhibition,irresponsibility,49,0,Q316_1,I have lost a friend because of irresponsible things I've done.
TRIMP,boldness,self confidence,50,1,Q317_1,I don't stack up well against most others.
TRIMP,disinhibition,problematic impulsivity ,51,0,Q318_1,Others have told me they are concerned about my lack of self-control. 
TRIMP,meanness,empathy,52,1,Q319_1,It’s easy for me to relate to other people’s emotions.
TRIMP,disinhibition,theft,53,0,Q320_1,I have robbed someone.
TRIMP,boldness,social assurance,54,0,Q321_1,I never worry about making a fool of myself with others.
TRIMP,meanness,empathy,55,0,Q322_1,It doesn’t bother me when people around me are hurting.
TRIMP,disinhibition,irresponsibility,56,0,Q323_1,I have had problems at work because I was irresponsible.
TRIMP,boldness,persuasiveness,57,1,Q324_1,I’m not very good at influencing people.
TRIMP,disinhibition,theft,58,0,Q325_1,I have stolen something out of a vehicle.
BIDR,self_deceptive,,1,1,Q328_1,I have not always been honest with myself. 
BIDR,self_deceptive,,2,0,Q329_1,I always know why I like things. 
BIDR,self_deceptive,,3,1,Q330_1,It's hard for me to shut off a disturbing thought. 
BIDR,self_deceptive,,4,0,Q331_1,I never regret my decisions. 
BIDR,self_deceptive,,5,1,Q332_1,I sometimes lose out on things because I can't make up my mind soon enough. 
BIDR,self_deceptive,,6,0,Q333_1,I am a completely rational person. 
BIDR,self_deceptive,,7,0,Q334_1,I am very confident of my judgments 
BIDR,self_deceptive,,8,1,Q335_1,I have sometimes doubted my ability as a lover. 
BIDR,impress_manage,,9,1,Q336_1,I sometimes tell lies if I have to. 
BIDR,impress_manage,,10,0,Q337_1,I never cover up my mistakes. 
BIDR,impress_manage,,11,1,Q338_1,There have been occasions when I have taken advantage of someone. 
BIDR,impress_manage,,12,1,Q339_1,I sometimes try to get even rather than forgive and forget.  
BIDR,impress_manage,,13,1,Q340_1,I have said something bad about a friend behind his/her back. 
BIDR,impress_manage,,14,0,Q341_1,"When I hear people talking privately, I avoid listening "
BIDR,impress_manage,,15,0,Q342_1,I never take things that don't belong to me. 
BIDR,impress_manage,,16,0,Q343_1,I don't gossip about other people's business. 
MAIA2,noticing,,1,0,Q345_1,When I am tense I notice where the tension is located in my body. 
MAIA2,noticing,,2,0,Q346_1, I notice when I am uncomfortable in my body. 
MAIA2,noticing,,3,0,Q347_1, I notice where in my body I am comfortable. 
MAIA2,noticing,,4,0,Q348_1,"I notice changes in my breathing, such as whether it slows down or speeds up. "
MAIA2,body_listening,,5,0,Q349_1, I listen for information from my body about my emotional state. 
MAIA2,body_listening,,6,0,Q350_1," When I am upset, I take time to explore how my body feels. "
MAIA2,body_listening,,7,0,Q351_1,I listen to my body to inform me about what to do. 
MAIA2,self_regulation,,8,0,Q352_1,When I feel overwhelmed I can find a calm place inside. 
MAIA2,self_regulation,,9,0,Q353_1,When I bring awareness to my body I feel a sense of calm. 
MAIA2,self_regulation,,10,0,Q354_1,I can use my breath to reduce tension. 
MAIA2,self_regulation,,11,0,Q355_1,"When I am caught up in thoughts, I can calm my mind by focusing on my body/breathing. "
